nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,deporte_adaptado,infraestructura_adaptada_para_accesibilidad,latitud,longitud,tipo_de_espacios_deportivos
CLUB ATLÉTICO ALMAGRO,CLUB DEPORTIVO,3.3708251009E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442522832E9,3.442553858E9,tamacaceres116@gmail.com,PABLO SCELIGA Y CELIA TORRA,S/N,,,,@club_atletico_almagroo,https://www.facebook.com/profile.php?id=61557939797407&ref=_xav_ig_profile_page_web#,Fútbol,SIN DATOS,SIN DATOS,-32.4758345062612,-58.2513156468294,Cancha de Fútbol
CLUB CICLISTA URUGUAYENSE,CLUB DEPORTIVO,3.3708949189E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442464571E9,3.442415811E9,nataliaviera3@gmail.com,AV. ITALIA,150.0,,,,,https://www.facebook.com/ClubCiclistaUrguayense/,Ciclismo,SIN DATOS,SIN DATOS,-32.4754487034793,-58.2239466045017,
CEF Nº3 DE CONCEPCIÓN DEL URUGUAY,POLIDEPORTIVO PROVINCIAL,SIN CUIT 078,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,,"Atletismo, Voley, Artes Marciales/deportes de contacto, Futsal",SI,SIN DATOS,-32.4752189760029,-58.2277278397991,"Cancha Techada, Otros, pista de atletismo"
AGRUPACIÓN DE CICLISMO PANCHO RAMIREZ,CLUB DEPORTIVO,3.0710624344E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442441232E9,3.442488362E9,apeariouruguay@gmail.com,LOS ÑANDUBAY,79.0,,,,,,Ciclismo,SIN DATOS,SIN DATOS,-32.4744313068196,-58.2556996558217,
SHIKINAEN DOJO,PRIVADO,2.0162171985E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,https://www.facebook.com/p/Karate-Do-Shin-Shu-Kan-Zanshin-Dojo-Concepci%C3%B3n-del-Uruguay-100063539202405/,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-32.4738758498568,-58.2362036765999,SUM
Cancha Municipal de Hockey Concepción del Uruguay,POLIDEPORTIVO MUNICIPAL,SIN CUIT 076,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,,Hockey césped,SIN DATOS,SIN DATOS,-32.4735562929631,-58.2237491342715,"Cancha de Hockey, Cancha hockey cesped"
Velódromo Municipal de Concepción del Uruguay,POLIDEPORTIVO MUNICIPAL,SIN CUIT 096,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,,Ciclismo,SIN DATOS,SIN DATOS,-32.4735562929631,-58.2237491342715,Otros
CENTRO DEPORTIVO Y CULTURAL DON BOSCO,CLUB DEPORTIVO,3.0708249307E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442549772E9,,gomezmuyi@gmail.com,AMEGHINO,S/N,,,,,,Fútbol,SIN DATOS,SIN DATOS,-32.4715448873228,-58.2393476181012,Cancha de Fútbol
CLUB DE PROFESIONALES JUSTO JOSE DE URQUIZA,CLUB DEPORTIVO,3.3707984339E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442419304E9,3.442419304E9,clubdeprofesionaleshockey@hotmail.com,GRANILLO POSSE,S/N,,,,@clubdeprofesionalesjju,https://www.facebook.com/Club.Profesionales,"Fútbol, Hockey césped",SIN DATOS,SIN DATOS,-32.4661279145629,-58.2808480838575,"Cancha de Fútbol, SUM, Cancha de Hockey, Cancha hockey cesped"
CLUB ATLETICO URUGUAY SOCIAL Y DEPORTIVO,CLUB DEPORTIVO,3.0670784157E10,CONCEPCIÓN DEL URUGUAY,URUGUAY,3.442432358E9,3.442488747E9,clapierleandro@gmail.com,25 DE MAYO Y LOS TULIPANES,S/N,,,,@clubatleticouruguay,https://www.facebook.com/ClubAtleticoUruguayoficial/,Fútbol,SI,"ANCHO DE PASILLOS, ESCALERAS ACCESIBLES, SANITARIOS ACCESIBLES, VESTUARIOS ACCESIBLES",-32.4655312242647,-58.2359428334435,"Cancha de Fútbol, Pileta Techada"
CLUB SOCIAL Y DEPORTIVO JUVENTUD DE CASEROS,CLUB DEPORTIVO,3.3600680159E10,CASEROS,URUGUAY,3.442442024E9,3.442467634E9,clubsocialydeportivojuventud@gmail.com,CALLE 8,765.0,,,,,https://www.facebook.com/p/Buffet-Club-Juventud-De-Caseros-100064810639220/,"Bochas, Básquet",SIN DATOS,SIN DATOS,-32.4631244204936,-58.4796311141992,"cancha de bochas, Cancha Techada, cancha de basquet, SUM"
AUTÓDROMO DE CONCEPCIÓN DEL URUGUAY,POLIDEPORTIVO MUNICIPAL,SIN CUIT 060,CONCEPCIÓN DEL URUGUAY,URUGUAY,,,,,,,,,,https://www.facebook.com/autodromocdelu#,Automovilismo / karting,SIN DATOS,SIN DATOS,-32.4560111176617,-58.3146613553839,Otros
CLUB UNIÓN Y RECREO,CLUB DEPORTIVO,3.0670801914E10,SAN JUSTO,URUGUAY,3.442495094E9,3.442537268E9,flaviadaianabel@gmail.com,BUENOS AIRES,378.0,,,,@clubunionyrecreo,https://www.facebook.com/unionyrecreoclub/,"Fútbol, Básquet",SIN DATOS,SIN DATOS,-32.4459364390854,-58.4411465911153,"Cancha de Fútbol, SUM"
CLUB SOCIAL CULTURAL Y DEPORTIVO SAN MARTÍN DE HERRERA,CLUB DEPORTIVO,3.0710603886E10,HERRERA,URUGUAY,3.442625601E9,3.442508658E9,clubsanmartinherrera@gmail.com,AVENIDA ORLANDO ERPEN,320.0,,,,https://www.instagram.com/sanmartin.herrera/,https://www.facebook.com/san.martin.herrera.2025/,"Fútbol, Hockey césped",SIN DATOS,SIN DATOS,-32.4376257769238,-58.6305680931896,Cancha de Fútbol
CLUB ATLETICO LOS GORILAS,CLUB DEPORTIVO,3.0708993308E10,CASEROS,URUGUAY,3.44264603E9,3.442492052E9,silroco41@yahoo.com.ar,PRIMERO DE MAYO,0.0,,,,,https://www.facebook.com/clublosgorilas.losgorilasentrerios/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-32.4345784066231,-58.4891337312154,"Cancha de Fútbol, SUM"
Polideportivo Nogoyá,POLIDEPORTIVO MUNICIPAL,SIN CUIT 070,NOGOYÁ,NOGOYÁ,,,,RP26,,,,,,,"Voley, Atletismo, Natación, Ciclismo, Patinaje artístico, Básquet, Fútbol, Rugby, Hockey césped",SIN DATOS,SIN DATOS,-32.4069239858229,-59.8015414821511,"Pileta Descubierta, Cancha de Fútbol, Cancha de Rugby, Cancha Techada, cancha de basquet, cancha de tenis, pista de atletismo, Cajon de arena"
CENTRO DEPORTIVO MANTERO,CLUB DEPORTIVO,3.0709125865E10,VILLA MANTERO,URUGUAY,3.445494013E9,3.445404945E9,centrodeportivomantero45@gmail.com,JUAN M.SERÓ,502.0,,,,,https://www.facebook.com/p/Centro-Deportivo-Mantero-Oficial,Fútbol,SIN DATOS,SIN DATOS,-32.4052075464484,-58.7410256622819,"Cancha de Fútbol, Cancha Techada"
CLUB SOCIAL Y DEPORTIVO 25 DE MAYO,CLUB DEPORTIVO,3.0690451766E10,NOGOYÁ,NOGOYÁ,3.435617317E9,3.435617317E9,marcoscavagna@hotmail.com,BOULEVARD SARMIENTO,1150.0,,,,https://www.instagram.com/csyd25demayo.oficial/?hl=es,https://www.facebook.com/eldecanodeNOGOYÁ/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-32.39913,-59.79559,Cancha de Fútbol
CLUB SOCIAL NOGOYÁ,CLUB DEPORTIVO,3.3530616989E10,NOGOYÁ,NOGOYÁ,3.435530426E9,3.435422402E9,diegoeduardomartinez@hotmail.com,SAN MARTIN Y CENTENARIO,0.0,,,,https://www.instagram.com/depor_NOGOYÁ/?hl=es,,OTROS,SIN DATOS,SIN DATOS,-32.39747,-59.78813,
AERO CLUB NOGOYÁ,CLUB DEPORTIVO,3.0690479296E10,NOGOYÁ,NOGOYÁ,3.43542704E9,3.435616602E9,aeroclubNOGOYÁ@hotmail.com,RUTA NACIONAL 12 Y RUTA PROVINCIAL 39,1.0,,,,,https://www.facebook.com/AeroClubNOGOYÁ/?locale=es_LA,Aviación,SIN DATOS,SIN DATOS,-32.3966889511879,-59.7504634821264,Otros
CLUB DEPORTIVO ECHAGÜE,CLUB DEPORTIVO,3.0670958694E10,GOBERNADOR ECHAGUE,TALA,3.445653736E9,3.445496012E9,larromedisko@yahoo.com.ar,SIN NOMBRE,S/N,,,,https://www.instagram.com/clubdeportivoechague/?hl=es-la,https://www.facebook.com/clubdeportivoechague/,"Fútbol, Voley",NO,"DÁRSENA DE LLEGADA, ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS",-32.3948024983221,-59.2769827956172,"Cancha de Fútbol, Cancha Techada, Otros"
CLUB DEPORTIVO SIRIO LIBANES,CLUB DEPORTIVO,3.0700138727E10,NOGOYÁ,NOGOYÁ,3.435416111E9,3.435416111E9,amilcar.olivera@hotmail.com,FITZ GERALD Y URQUIZA,0.0,,,,https://www.instagram.com/siriolibanesNOGOYÁ/,,"Fitness, Rugby, Fútbol, Handball, Básquet",SIN DATOS,SIN DATOS,-32.3943940146979,-59.7919601518332,"Cancha de Rugby, Cancha de Fútbol, cancha de basquet"
CLUB DEPORTIVO LIBERTAD,CLUB DEPORTIVO,3.0707128034E10,NOGOYÁ,NOGOYÁ,3.435534726E9,3.435535742E9,miguelidiaz@yahoo.com.ar,ITALIA,537.0,,,,https://www.instagram.com/clubdeportivolibertad.oficial/?hl=es,,"Fútbol, Rugby, Patinaje artístico",SIN DATOS,SIN DATOS,-32.3903575203076,-59.7985288342715,"Cancha de Fútbol, Cancha de Rugby, SUM"
CLUB DEPORTIVO NOGOYÁ (CDN),CLUB DEPORTIVO,3.0671194027E10,NOGOYÁ,NOGOYÁ,3.435409521E9,,poli_lhg@hotmail.com,MIHURA,S/N,,,,https://www.instagram.com/depor_NOGOYÁ/?hl=es,https://www.facebook.com/p/Club-Deportivo-Nogoy%C3%A1-100063589537443/,"Natación, Fútbol, Tenis, Pelota paleta, Bochas",SIN DATOS,SIN DATOS,-32.3894898944149,-59.7909258612804,"Cancha de Fútbol, Pileta Descubierta, cancha de tenis, Otros, cancha de pelota, SUM, cancha de bochas"
CLUB SOCIAL Y DEPORTIVO LUCAS,CLUB DEPORTIVO,3.0688807693E10,LUCAS GONZÁLEZ,NOGOYÁ,3.455421196E9,,osvaldo.kuttel@infinet.com.ar,LUCAS SUD,0.0,,,,https://www.instagram.com/clubsociallg_/,,"Bochas, Tenis",SIN DATOS,SIN DATOS,-32.385251295754,-59.5319213966793,"cancha de bochas, cancha de padel, SUM"
CLUB ATLETICO LUCAS GONZÁLEZ,CLUB DEPORTIVO,3.0700189909E10,LUCAS GONZÁLEZ,NOGOYÁ,3.435480296E9,3.43561936E9,lisandrovolonte@gmail.com,OLEGARIO VICTOR ANDRADE,S/N,,,,https://www.instagram.com/c.a.lucasgonzalez/,https://www.facebook.com/p/Club-Atl%C3%A9tico-Lucas-Gonz%C3%A1lez-100064404924106/,"Fútbol, padel",SIN DATOS,SIN DATOS,-32.3840806337389,-59.524350676486,"Cancha de Fútbol, cancha de padel"
FERROCARRIL FOOT BALL CLUB,CLUB DEPORTIVO,3.0690508202E10,NOGOYÁ,NOGOYÁ,3.43540691E9,3.4356147E9,albertoacostanog@gmail.com,LA PAZ,864.0,,,,,https://www.facebook.com/ffbc.oficial/,"Fútbol, padel",SIN DATOS,SIN DATOS,-32.3827078546245,-59.796293928163,"Cancha de Fútbol, Cancha de Rugby, Gimnasio, SUM, cancha de padel"
CLUB DEPORTIVO PEÑAROL,CLUB DEPORTIVO,3.0670752948E10,BASAVILBASO,URUGUAY,3.445437804E9,3.44242421E9,unicolascola@gmail.com,MITRE,0.0,,,,@ofi_cdp_basalvibaso,,Fútbol,SIN DATOS,SIN DATOS,-32.3767423323053,-58.8713701334479,Cancha de Fútbol
CLUB DEFENSORES DEL OESTE,CLUB DEPORTIVO,3.0670772388E10,BASAVILBASO,URUGUAY,3.445433638E9,3.445433638E9,arielamarillo19@hotmail.com,BERNARDO UCHITEL,1100.0,,,,,,Bochas,SIN DATOS,SIN DATOS,-32.3762797256175,-58.8817683275742,"cancha de bochas, Cancha Techada, cancha de basquet"
CLUB DEPORTIVO RAMSAR JUNIORS,CLUB DEPORTIVO,3.0670760754E10,BASAVILBASO,URUGUAY,3.44545558E9,3.445403429E9,cdramsarjuniors@gmail.com,RAMIREZ,947.0,Cancha de fútbol 11,"-32.37929542591674, -58.87506453050566",,@ramsarjrs,https://www.facebook.com/ramsarjuniorsbasavilbaso/?locale=es_LA,Fútbol,NO,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS",-32.375469745811,-58.8777112478074,"Cancha de Fútbol, Cancha Techada, SUM"
CLUB ATLETICO BASAVILBASO,CLUB DEPORTIVO,3.0670754541E10,BASAVILBASO,URUGUAY,3.445481351E9,3.445482452E9,uchitel176@live.com.ar,AVENIDA SAN MARTÍN Y BARÓN HIRSCH,401.0,,,,@clubatleticobasavilbaso,https://www.facebook.com/clubatleticobasavilbaso/?locale=es_LA,Fútbol,NO,"ESTACIONAMIENTOS ACCESIBLES, PUERTAS ACCESIBLES",-32.3651282988783,-58.8784805857502,"Cancha de Fútbol, Cancha Techada, SUM"
AERO CLUB BASAVILBASO,CLUB DEPORTIVO,3.0708248653E10,BASAVILBASO,URUGUAY,3.44548194E9,3.445477751E9,gise_ga@hotmail.com,SUIPACHA,S/N,,,,@aeroclubhockeybasavilbaso,https://www.facebook.com/aeroclub.basavilbaso/?locale=es_LA,"Aviación, Fútbol, Hockey césped",SIN DATOS,SIN DATOS,-32.3636206327453,-58.8763240471205,"Otros, Cancha de Fútbol, cancha de padel"
CLUB SOCIAL Y DEPORTIVO DEFENSORES DE PRONUNCIAMIENTO,CLUB DEPORTIVO,3.0708751991E10,PRONUNCIAMIENTO,URUGUAY,3.442540773E9,3.442496387E9,aserraderopapi@hotmail.com,DAYMONAZ,0.0,,,,@clubdepro,https://www.facebook.com/p/DEPRO,"Fútbol, Hockey césped",NO,"PUERTAS ACCESIBLES, ANCHO DE PASILLOS",-32.3435231958934,-58.4498388870533,"Cancha de Fútbol, SUM, Cancha Techada, Pileta Descubierta"
CLUB DEPORTIVO Y CULTURAL UNION SOLENSE,CLUB DEPORTIVO,3.070706793E10,GOBERNADOR SOLÁ,TALA,3.445453202E9,3.445492034E9,melinadcabrera@gmail.com,CALLE PAVIMENTADA 0 ENTRE LAS CALLES LAURENCENA E ILLIA,S/N,,,,https://www.instagram.com/club.unionsolense/,https://www.facebook.com/union.solense/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-32.3362603430619,-59.3669199623659,Cancha de Fútbol
COMPLEJO POLIDEPORTIVO MUNICIPAL GRAL. JOSÉ DE SAN MARTIN,POLIDEPORTIVO MUNICIPAL,SIN CUIT 016,HERNÁNDEZ,NOGOYÁ,,,,,,,,,https://www.instagram.com/municipioHERNÁNDEZ/?hl=en,https://www.facebook.com/municipioHERNÁNDEZ19/?locale=es_LA,"Voley, Natación, Fútbol",SIN DATOS,SIN DATOS,-32.33518,-60.02351,"Cancha Techada, Pileta Descubierta, cancha de tenis, Otros, Cancha de Fútbol, Cajon de arena"
CLUB DEPORTIVO Y CULTURAL HERNÁNDEZ,CLUB DEPORTIVO,3.0700134691E10,HERNÁNDEZ,NOGOYÁ,3.435419674E9,3.435491055E9,paholalopez49@gmail.com,FRANCISCO RAMÍREZ,567.0,,,,https://www.instagram.com/cdych.futbol/,,Fútbol,SIN DATOS,SIN DATOS,-32.3339572117193,-60.0245540754892,Cancha de Fútbol
CLUB DE PESCA Y REMO ROSARIO DEL TALA,CLUB DEPORTIVO,3.0707705635E10,ROSARIO DEL TALA,TALA,3.44542174E9,3.445432522E9,clubdepescayremo@gmail.com,RIO GUALEGUAY - PARQUE BALNEARIO DR. DELIO PANIZZA,S/N,,,,@clubdepescayremordt,https://www.facebook.com/p/Club-de-Pesca-y-Remo-Rosario-del-Tala-100066425843868/?locale=es_LA,"Náuticos, Pesca",SIN DATOS,SIN DATOS,-32.31034719173,-59.0774531084028,Otros
POLIDEPORTIVO JORGE MARIO GRIMAUX,POLIDEPORTIVO MUNICIPAL,SIN CUIT 032,ROSARIO DEL TALA,TALA,3445-422755 Deportes Municipal,3445453908 Celular Javier,municipalidadrosariodeltala@gmail.com,,,,Playón deportivo en Barrio Sagrada Familia - Centenario 311.,,https://www.instagram.com/direccion_de_deportes_rdt/?hl=es-la,https://www.facebook.com/deportes.rdt/,"Fútbol, Básquet, Voley, Atletismo",SI,SIN DATOS,-32.3050048981465,-59.1436874423274,"pista de atletismo, Cancha de Fútbol, cancha de basquet, Otros"
TIRO FEDERAL ROSARIO DEL TALA,CLUB DEPORTIVO,3.061971741E10,ROSARIO DEL TALA,TALA,3.445457236E9,3.445479966E9,turczakleo@yahoo.com.ar,OSCAR STETTLER,BOULEVAR BELGRANO,,,,,Tiro federal Rosario del Tala,"Tiro con Arco, tiro deportivo",SI,"ANCHO DE PASILLOS, SANITARIOS ACCESIBLES",-32.3030434382674,-59.128661991204,Otros
CENTRO DE SUBOFICIALES SANTA BARBARA,CLUB DEPORTIVO,3.0670952653E10,ROSARIO DEL TALA,TALA,3.445422348E9,3.445422313E9,jorgeomar-317@hotmail.com,ROQUE SÁENZ PEÑA,134.0,,,,,https://www.facebook.com/infantilescentrosuboficialessantabarbara/?locale=es_ES,Fútbol,SIN DATOS,SIN DATOS,-32.3003213639247,-59.1350312470229,
CENTRO SPORTIVO PEÑAROL,CLUB DEPORTIVO,3.0670952726E10,ROSARIO DEL TALA,TALA,3.445431813E9,3.434640235E9,alegargano@hotmail.com,ROQUE SAENZ PEÑA,300.0,,,,@prensacsp,https://www.facebook.com/prensacsp/?locale=es_LA,Básquet,SIN DATOS,NINGUNA,-32.2998155941381,-59.1396501912043,"cancha de basquet, Cancha Techada"
CLUB TALENSE,CLUB DEPORTIVO,3.0710515804E10,ROSARIO DEL TALA,TALA,3.445523777E9,3.445421556E9,club.talense@hotmail.com,ROQUE SAENZ PEÑA,328.0,,,,https://www.instagram.com/clubtalense/,https://www.facebook.com/p/Club-Talense-100069335961090/,"Tenis, padel",SIN DATOS,SIN DATOS,-32.2996927191213,-59.140468477713,"cancha de tenis, cancha de padel, SUM"
CLUB ATLETICO ROSARIO DEL TALA,CLUB DEPORTIVO,3.3708257929E10,ROSARIO DEL TALA,TALA,,,,9 DE JULIO,372.0,Cancha de futbol,"-32.30112685264257, -59.13142159982525",www.atleticotala.com.ar,,,"Fútbol, Básquet, OTROS",NO,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS",-32.2982211154055,-59.1413983844801,"Cancha de Fútbol, cancha de basquet, Otros"
AERO CLUB COLÓN,CLUB DEPORTIVO,3.0670742152E10,COLÓN,COLÓN,3.447469056E9,3.44762541E9,nikolas_123_7@hotmail.com,EJIDO COLÓN,S/N,,,,,aeroclub COLÓN,Aviación,SIN DATOS,SIN DATOS,-32.26161,-58.1545,Otros
COLÓN RUGBY CLUB,CLUB DEPORTIVO,3.07155531E10,COLÓN,COLÓN,3.447432732E9,3.447436738E9,COLÓNrugbyclub@gmail.com,SERAPHIN DEGENEVE Y CALLE PUBLICA - EJIDO COLÓN,S/N,,,,@COLÓNrugbyclub,https://www.facebook.com/COLÓNrugbyclub/,Rugby,NO,"ACCESO ADECUADO, PUERTAS ACCESIBLES",-32.26007,-58.1529,"Cancha de Rugby, SUM"
CLUB SOCIAL Y DEPORTIVO ACHIRENSE,CLUB DEPORTIVO,3.0714246786E10,COLÓN,COLÓN,3.447421463E9,3.447400507E9,gabriel.delaloye@gmail.com,GÜEMES,200.0,,,,@achirenseok,https://www.facebook.com/achirenseok,Fútbol,SIN DATOS,SIN DATOS,-32.25033,-58.20873,Cancha de Fútbol
CLUB DE CAMPO LOS BRETES,CLUB DEPORTIVO,3.0709943614E10,COLÓN,COLÓN,3.447435543E9,,losbretes@losbretes.com.ar,"RUTA 135 KM 10.5, A PUENTE INTERNACIONAL GRAL. ARTIGAS, EJIDO",,,,www.losbretes.com.ar/,,https://www.facebook.com/losbretesclubdecampo/posts/1521657037968502,"Golf, Tenis, Náuticos",SIN DATOS,SIN DATOS,-32.24584,-58.13679,"Campo de Golf, SUM"
CLUB DEPORTIVO Y CULTURAL ARANGUREN,CLUB DEPORTIVO,3.0690501895E10,ARANGUREN,NOGOYÁ,3.435050685E9,3.436434575E9,deportesyturismo@aranguren.gob.ar,AVENIDA SAN MARTIN Y URANGA,500.0,,,,https://www.instagram.com/futbolculturalaranguren/,https://www.facebook.com/p/Club-Deportivo-Cultural-Aranguren-100064322783887/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-32.2441417115889,-60.1614456908386,"Cancha de Fútbol, Cancha Techada, SUM"
CLUB ATLETICO CAMPITO,CLUB DEPORTIVO,3.0670788594E10,COLÓN,COLÓN,3.442588936E9,3.447645973E9,valevulliez@gmail.com,ANDRADE,550.0,,,,@clubatleticocampito,https://www.facebook.com/clubatleticocampito,"Fútbol, Gimnasia Artística, Básquet",SIN DATOS,SIN DATOS,-32.2292,-58.1309,"Cancha de Fútbol, cancha de basquet"
CLUB DEFENSORES DE COLÓN,CLUB DEPORTIVO,3.0710572867E10,COLÓN,COLÓN,3.447647874E9,3.447424974E9,refrigvictor@hotmail.com,GRAL URQUIZA,850.0,,,,@clubdefensoresdeCOLÓN,https://www.facebook.com/p/Defensores-de-Col%C3%B3n-100063871186905/?locale=es_LA,"Fútbol, Boxeo",SIN DATOS,SIN DATOS,-32.22912,-58.14776,"Cancha de Fútbol, SUM"
SKATEPARK COLÓN,POLIDEPORTIVO MUNICIPAL,SIN CUIT 027,COLÓN,COLÓN,,,,,,,,,https://www.instagram.com/p/CkYNr29Nmfn/,,Deportes Urbanos,SIN DATOS,SIN DATOS,-32.2267156388585,-58.1324400441631,skatepark
ESCUELA MUNICIPAL DE 𝗠𝗨𝗔𝗬 𝗧𝗛𝗔𝗜,POLIDEPORTIVO MUNICIPAL,SIN CUIT 037,COLÓN,COLÓN,,,,,,,,,https://www.instagram.com/p/DA5uJ9ORirX/,,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-32.2266131058375,-58.1487043316821,"Otros, SUM"
PARQUE DR HERMINIO J. QUIROS,POLIDEPORTIVO MUNICIPAL,SIN CUIT 065,COLÓN,COLÓN,,,,,,,,,https://www.instagram.com/muniCOLÓNer/?hl=en,https://www.facebook.com/muniCOLÓNer/?locale=es_LA,"Rugby, Básquet , Fútbol, Voley, Tenis",SIN DATOS,SIN DATOS,-32.2256395160608,-58.1333374999999,"Cancha de Fútbol, Cancha de Rugby, cancha de basquet, cancha de tenis, Otros"
CLUB PIEDRAS COLORADAS,CLUB DEPORTIVO,3.0670746972E10,COLÓN,COLÓN,3.447427192E9,3.447423548E9,lauraloker@hotmail.com,AVENIDA QUIROZ,S/N,,,www.clubpiedrascoloradas.com/,,https://www.facebook.com/ClubPiedrasColoradas/?locale=es_LA,Náuticos,SIN DATOS,SIN DATOS,-32.2231121638275,-58.1315748134911,"Otros, cancha de basquet, Cajon de arena"
CLUB SOCIAL LA ARMONIA,CLUB DEPORTIVO,3.0710504713E10,COLÓN,COLÓN,3.447411052E9,3.447649657E9,anaraffo34@hotmail.com / clubarmonia1934@outlook.com,BOLIVAR,498.0,,,,,https://www.facebook.com/people/Club-Social-La-Armonia,"Básquet , Voley, Artes Marciales/deportes de contacto",NO,"DÁRSENA DE LLEGADA, ESTACIONAMIENTOS ACCESIBLES, ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, ESCALERAS ACCESIBLES, RAMPAS, SANITARIOS ACCESIBLES, VESTUARIOS ACCESIBLES",-32.22219,-58.14284,"Cancha Techada, SUM, Otros"
JOCKEY CLUB COLÓN,CLUB DEPORTIVO,3.0534168256E10,COLÓN,COLÓN,3.447421318E9,3.447452165E9,garin_ruben@hotmail.com / jockeyclubCOLÓN@gmail.com,GRAL URQUIZA,282.0,,,www.jockeyclubCOLÓN-er.blogspot.com/,,JockeyclubCOLÓN,Hipismo,SIN DATOS,SIN DATOS,-32.222,-58.13794,"SUM, Otros"
CLUB ATLETICO LA UNION,CLUB DEPORTIVO,3.0670761432E10,COLÓN,COLÓN,3.447649461E9,3.447454238E9,ezegiraldi@hotmail.com,12 DE ABRIL,187.0,,,,@clublaunion,https://www.facebook.com/launiondeCOLÓN,Básquet,SIN DATOS,SIN DATOS,-32.22008,-58.13717,Cancha Techada
POLIDEPORTIVO MUNICIPAL SAN JOSE,POLIDEPORTIVO MUNICIPAL,SIN CUIT 001,SAN JOSÉ,COLÓN,3442 40-6187,,areadedeportes.sj@gmail.com,"Yapeyú & Av. Mitre, San José, Entre Ríos",,,,,,https://www.facebook.com/CoordinacionDeportesSanJose/,"Fútbol, Atletismo, Voley",SI,SIN DATOS,-32.217448307754,-58.2148043,"Cancha de Fútbol, Pileta Descubierta, Cancha Techada, pista de atletismo, SUM, cancha de basquet, Otros"
CLUB DEFENSORES COLONIA NUEVA - ASOCIACION CIVIL,CLUB DEPORTIVO,3.3716817739E10,SAN JOSÉ,COLÓN,,,,,,,,clubCOLÓNianueva.wixsite.com/COLÓNianueva,@COLÓNianueva,https://www.facebook.com/DfCOLÓNiaNueva/,Fútbol,SIN DATOS,SIN DATOS,-32.2166199054996,-58.2753661051308,Cancha de Fútbol
CLUB ATLETICO SAUCE,CLUB DEPORTIVO,3.3701843679E10,COLÓN,COLÓN,3.447497184E9,3.447423413E9,clubatleticosauce1951@hotmail.com,MAIPU,580.0,,,,@clubasauce/,https://www.facebook.com/profile.php?id=100063836982534&locale=es_LA,"Fútbol, Patinaje artístico, Voley, Boxeo",NO,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES",-32.21463,-58.14855,"Cancha de Fútbol, Cancha Techada, Otros, Pileta Descubierta"
TIRO FEDERAL ARGENTINO DE VILLA SAN JOSÉ,CLUB DEPORTIVO,3.0670763419E10,SAN JOSÉ,COLÓN,3.447477409E9,3.447447899E9,tirofederalsanjose@gmail.com,LUIS CETTOUR,985.0,,,,@tirofederalsanjose,Tiro Federal SAN JOSÉ,"Tiro con Arco, tiro deportivo",SIN DATOS,SIN DATOS,-32.2116645475166,-58.2296617779107,Otros
CLUB SOCIAL Y DEPORTIVO SAN JOSÉ,CLUB DEPORTIVO,3.0670743906E10,SAN JOSÉ,COLÓN,3.447470037E9,3.447503464E9,braugonzalo@hotmail.com,44021.0,1837.0,,,,https://www.instagram.com/club.sanjose/,,"Voley, Fútbol, Básquet , Patinaje artístico, Rugby, padel, OTROS",SIN DATOS,SIN DATOS,-32.2109421990068,-58.2183628570022,"Cancha de Fútbol, Cancha Techada, cancha de basquet, SUM, pista de atletismo, Cancha de Rugby, cancha de padel, Otros, Cajon de arena"
